Neighborhood,FullName,Lat/Log,Car.miles,Car.Time.min,Walk.miles,Walk.time.min,Bus.time.min
Blmngtn,Bloogton Heights,"42°03'38.9"N 93°38'25.5"W""2°03'38.9"N 93""°03'",2.9,9,2.7,54,45
Blueste,Bluestem,"42°00'37.5"N 93°38'41.5"W""2°00'37.5"N 93""°00'",1.5,6,1.4,27,24
BrDale,Briardale,"42°03'10.6"N 93°37'43.9"W""2°03'10.6"N 93""°03'",2.9,9,2.6,51,25
BrkSide,Brookside,"42°01'45.0"N 93°37'47.6"W""2°01'45.0"N 93""°01'",1.1,5,0.8,16,10
ClearCr,Clear Creek,"42°02'10.4"N 93°38'55.4"W""2°02'10.4"N 93""°02'",1.1,5,1.8,36,25
CollgCr,College Creek,"42°01'17.3"N 93°38'58.8"W""2°01'17.3"N 93""°01'",0.7,5,0.6,12,14
Crawfor,Crawford,"42°01'34.7"N 93°38'42.2"W""2°01'34.7"N 93""°01'",1.1,5,1,20,18
Edwards,Edwards,"42°01'11.4"N 93°40'34.1"W""2°01'11.4"N 93""°01'",2.2,9,2,38,24
Gilbert,Gilbert,"42°06'28.2"N 93°38'58.6"W""2°06'28.2"N 93""°06'",6.9,15,6.3,125,NA
IDOTRR,Iowa DOT and Rail Road,"42°01'17.9"N 93°40'06.7"W""2°01'17.9"N 93""°01'",1.8,8,1.5,28,14
MeadowV,Meadow Village,"41°59'32.9"N 93°36'09.5"W""1°59'32.9"N 93""°59'",4.4,12,4.2,86,27
Mitchel,Mitchell,"41°59'25.6"N 93°36'04.3"W""1°59'25.6"N 93""°59'",4.7,13,4.3,90,26
Names,North Ames,"42°03'28.0"N 93°38'48.1"W""2°03'28.0"N 93""°03'",2.6,8,2.3,46,34
NoRidge,Northridge,"42°03'03.1"N 93°39'17.2"W""2°03'03.1"N 93""°03'",2.6,8,2.3,44,34
NPkVill,Northpark Villa,"42°02'10.9"N 93°36'12.4"W""2°02'10.9"N 93""°02'",3,10,2.7,56,41
NridgHt,Northridge Heights,"42°03'38.7"N 93°39'16.8"W""2°03'38.7"N 93""°03'",3.1,10,2.8,56,33
NWAmes,Northwest Ames,"42°04'52.4"N 93°40'46.1"W""2°04'52.4"N 93""°04'",5.8,15,5.4,107,NA
OldTown,Old Town,"42°01'48.9"N 93°36'50.6"W""2°01'48.9"N 93""°01'",2.2,7,1.8,40,26
SWISU,South & West of Iowa State University,"42°00'56.1"N 93°40'26.7"W""2°00'56.1"N 93""°00'",3,12,2.6,51,26
Sawyer,Sawyer,"42°02'01.9"N 93°40'39.1"W""2°02'01.9"N 93""°02'",2.6,7,2.3,43,18
SawyerW,Sawyer West,"42°02'13.3"N 93°41'36.0"W""2°02'13.3"N 93""°02'",4,14,3.1,60,24
Somerst,Somerset,"42°03'06.0"N 93°38'32.1"W""2°03'06.0"N 93""°03'",2.2,10,1.9,39,27
StoneBr,Stone Brook,"42°03'34.2"N 93°38'14.8"W""2°03'34.2"N 93""°03'",3.6,10,3.1,64,21
Timber,Timberland,"42°00'01.3"N 93°38'58.4"W""2°00'01.3"N 93""°00'",3.5,10,3.2,65,59
Veenker,Veenker,"42°02'40.1"N 93°38'54.1"W""2°02'40.1"N 93""°02'",1.8,8,1.5,31,25
